department_name,school,harvard_equivalent
(TRANSLATIONAL) NEUROSCIENCE,Michigan State,Nb
MICROBIOLOGY AND MOLECULAR GENETICS,Michigan State,Gn
PHARMACOLOGY AND TOXICOLOGY,Michigan State,BCMP
PHYSIOLOGY,Michigan State,
BIOLOGICAL CHEMISTRY,UCLA-Geffen,BCMP
COMPUTATIONAL MEDICINE,UCLA-Geffen,SB
HUMAN GENETICS,UCLA-Geffen,Gn
MICROBIOLOGY IMMUN AND MOLEC GENETICS,UCLA-Geffen,Mb;Imm;Gn
MOLECULAR AND MED PHARMACOLOGY,UCLA-Geffen,BCMP
NEUROBIOLOGY,UCLA-Geffen,Nb
PHYSIOLOGY,UCLA-Geffen,
MEDICAL MICROBIOLOGY AND IMMUNOLOGY,Creighton,Mb;Imm
MEDICAL HUMANITIES,Creighton,GHSM
PATHOLOGY,Creighton,
PHARMACOLOGY (AND NEUROSCIENCE),Creighton,BCMP;Nb
BIOMOLECULAR CHEMISTRY,Wisconsin,BCMP
BIOSTATISTICS AND MED INFORMATICS,Wisconsin,DBMI
CELL AND REGENERATIVE BIOLOGY,Wisconsin,SCRB
MEDICAL GENETICS,Wisconsin,Gn
MEDICAL HISTORY AND BIOETHICS,Wisconsin,GHSM
MEDICAL MICROBIOLOGY AND IMMUNOLOGY,Wisconsin,Mb;Imm
MEDICAL PHYSICS,Wisconsin,BCMP
NEUROSCIENCE,Wisconsin,Nb
ONCOLOGY,Wisconsin,
POPULATION HEALTH SCIENCES,Wisconsin,
ANATOMY AND CELL BIOLOGY,Iowa-Carver,CB
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Iowa-Carver,BCMP
MICROBIOLOGY AND IMMUNOLOGY,Iowa-Carver,Mb;Imm
MOLECULAR PHYSIOLOGY AND BIOPHYSICS,Iowa-Carver,BCMP
NEUROSCIENCE AND PHARMACOLOGY,Iowa-Carver,Nb;BCMP
PATHOLOGY,Iowa-Carver,
BIOCHEMISTRY,Vermont-Larner,BCMP
MICROBIOLOGY AND MOLECULAR GENETICS,Vermont-Larner,Mb;Gn
MOLECULAR PHYSIOLOGY AND BIOPHYSICS,Vermont-Larner,BCMP
PATHOLOGY AND LABORATORY MEDICINE,Vermont-Larner,
PHARMACOLOGY,Vermont-Larner,
BIOCHEMISTRY,West Virginia,BCMP
HEALTH INFORMATICS AND INFORMATION MANAGEMENT,West Virginia,DBMI
MICROBIOLOGY IMMUNOLOGY AND CELL BIOLOGY,West Virginia,Mb;Imm;CB
NEUROSCIENCE,West Virginia,Nb
PATHOLOGY ANATOMY AND LABORATORY MEDICINE,West Virginia,
PHYSIOLOGY (AND) PHARMACOLOGY AND NEUROSCIENCE,West Virginia,BCMP
CELL BIOLOGY,SUNY Downstate,CB
PATHOLOGY,SUNY Downstate,
PHYSIOLOGY AND PHARMACOLOGY,SUNY Downstate,BCMP
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Baylor,BCMP
EDUCATION INNOVATION AND TECHNOLOGY,Baylor,
MOLECULAR PHYSIOLOGY AND BIOPHYSICS,Baylor,BCMP
MOLECULAR VIROLOGY AND MICROBIOLOGY,Baylor,Mb
MOLECULAR AND CELLULAR BIOLOGY,Baylor,CB
MOLECULAR AND HUMAN GENETICS,Baylor,Gn
NEUROSCIENCE,Baylor,Nb
PATHOLOGY AND IMMUNOLOGY,Baylor,Imm
PHARMACOLOGY AND CHEMICAL BIOLOGY,Baylor,BCMP
BIOCHEMISTRY AND MOLECULAR PHARMACOLOGY,Massachusetts,BCMP
MICROBIOLOGY AND PHYSIOLOGICAL SYSTEMS,Massachusetts,Mb
MOLECULAR CELL AND CANCER BIOLOGY,Massachusetts,CB
NEUROBIOLOGY,Massachusetts,Nb
PATHOLOGY,Massachusetts,
POPULATION AND QUANTITATIVE HEALTH SCIENCES,Massachusetts,GHSM
BIOCHEMISTRY AND MOLECULAR GENETICS,Virginia,BCMP;Gn
BIOMEDICAL ENGINEERING,Virginia,
CELL BIOLOGY,Virginia,
MICROBIOLOGY IMMUN AND CANCER BIOLOGY,Virginia,Mb;Imm
MOLECULAR PHYSIOLOGY AND BIOLOGICAL PHYSICS,Virginia,BCMP
NEUROSCIENCE,Virginia,Nb
PHARMACOLOGY,Virginia,Nb
PUBLIC HEALTH SCIENCES,Virginia,
BIOCHEMISTRY AND BIOPHYSICS,North Carolina,BCMP
BIOMEDICAL ENGINEERING,North Carolina,
CELL BIOLOGY AND PHYSIOLOGY,North Carolina,CB
GENETICS,North Carolina,Gn
MICROBIOLOGY AND IMMUNOLOGY,North Carolina,Mb;Imm
NUTRITION (PUBLIC HEALTH),North Carolina,
PHARMACOLOGY,North Carolina,BCMP
SOCIAL MEDICINE,North Carolina,GHSM
BEHAVIORAL SCIENCE,Kentucky,
MICROBIOLOGY IMMUNOLOGY AND MOLECULAR GENETICS,Kentucky,Mb;Imm;Gn
MOLECULAR AND CELLULAR BIOCHEMISTRY,Kentucky,BCMP
NEUROSCIENCE,Kentucky,Nb
PHARMACOLOGY AND NUTRITIONAL SCIENCES,Kentucky,BCMP
PHYSIOLOGY,Kentucky,
TOXICOLOGY AND CANCER BIOLOGY,Kentucky,
CANCER BIOLOGY,Toledo,
MEDICAL MICROBIOLOGY AND IMMUNOLOGY,Toledo,Mb;Imm
NEUROSCIENCES,Toledo,Nb
PATHOLOGY,Toledo,
PHYSIOLOGY AND PHARMACOLOGY,Toledo,BCMP
CELLULAR AND MOLECULAR MEDICINE,UC San Diego,CB
NEUROSCIENCES,UC San Diego,Nb
PATHOLOGY,UC San Diego,
PHARMACOLOGY,UC San Diego,BCMP
ANATOMY AND NEUROBIOLOGY,Maryland,Nb
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Maryland,BCMP
MICROBIOLOGY AND IMMUNOLOGY,Maryland,Mb;Imm
PHARMACOLOGY,Maryland,BCMP
PHYSIOLOGY,Maryland,
BIOCHEMISTRY,Buffalo-Jacobs,BCMP
BIOMEDICAL ENGINEERING,Buffalo-Jacobs,
BIOMEDICAL INFORMATICS,Buffalo-Jacobs,DBMI
MICROBIOLOGY AND IMMUNOLOGY,Buffalo-Jacobs,Mb;Imm
PATHOLOGY AND ANATOMICAL SCIENCES,Buffalo-Jacobs,
PHARMACOLOGY AND TOXICOLOGY,Buffalo-Jacobs,BCMP
PHYSIOLOGY AND BIOPHYSICS,Buffalo-Jacobs,BCMP
STRUCTURAL BIOLOGY,Buffalo-Jacobs,
BEHAVIORAL NEUROSCIENCE,Oregon,Nb
BIOMEDICAL ENGINEERING,Oregon,
CELL DEVELOPMENTAL AND CANCER BIOLOGY,Oregon,CB
CHEMICAL PHYSIOLOGY AND BIOCHEMISTRY,Oregon,BCMP
BIOCHEMISTRY AND MOLECULAR BIOLOGY (OLD),Oregon,BCMP
PHYSIOLOGY AND PHARMACOLOGY (OLD),Oregon,BCMP
MEDICAL INFORMATICS AND CLINICAL EPIDEMIOLOGY,Oregon,DBMI
COMPUTATIONAL BIOLOGY,Oregon,SB
MOLECULAR AND MEDICAL GENETICS,Oregon,Gn
MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,Oregon,Mb;Imm
ANATOMY AND CELL BIOLOGY,Rush,CB
MICROBIAL PATHOGENS AND IMMUNITY,Rush,Mb;Imm
PATHOLOGY,Rush,
PHYSIOLOGY AND BIOPHYSICS,Rush,BCMP
PREVENTIVE MEDICINE,Rush,GHSM
ANATOMICAL SCIENCES AND NEUROBIOLOGY,Louisville,Nb
BIOCHEMISTRY AND MOLECULAR GENETICS,Louisville,BCMP;Gn
MICROBIOLOGY AND IMMUNOLOGY,Louisville,Mb;Imm
PHARMACOLOGY AND TOXICOLOGY,Louisville,BCMP
PHYSIOLOGY,Louisville,
BASIC SCIENCES (BIOCHEMISTRY;MICROBIOLOGY AND MOLECULAR GENETICS;PHARMACOLOGY;PHYSIOLOGYLBIOMEDICAL ENGINEERING SCIENCES),Loma Linda,BCMP
PATHOLOGY AND HUMAN ANATOMY,Loma Linda,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,SUNY Upstate,BCMP
CELL AND DEVELOPMENTAL BIOLOGY,SUNY Upstate,CB
MICROBIOLOGY AND IMMUNOLOGY,SUNY Upstate,Mb;Imm
NEUROSCIENCE AND PHYSIOLOGY,SUNY Upstate,Nb
PHARMACOLOGY,SUNY Upstate,BCMP
CELL BIOLOGY AND MOLECULAR MEDICINE,Rutgers New Jersey,CB;BCMP
MICROBIOLOGY BIOCHEM AND MOLECULAR GENETICS,Rutgers New Jersey,Mb;BCMP;Gn
PHARMACOLOGY PHYSIOLOGY AND NEUROSCIENCE,Rutgers New Jersey,Nb;BCMP
PATHOLOGY IMMUNOLOGY AND LABORATORY MEDICINE,Rutgers New Jersey,Imm
BIOCHEMISTRY,Utah,BCMP
BIOMEDICAL INFORMATICS,Utah,DBMI
HUMAN GENETICS,Utah,Gn
NEUROBIOLOGY AND ANATOMY,Utah,Nb
ONCOLOGICAL SCIENCES,Utah,
PATHOLOGY,Utah,
POPULATION HEALTH SCIENCES,Utah,GHSM
ANATOMY AND NEUROBIOLOGY,Tennessee,Nb
GENETICS GENOMICS AND INFORMATICS,Tennessee,Gn;DBMI
MICROBIOLOGY IMMUNOLOGY AND BIOCHEMISTRY,Tennessee,Mb;Imm;BCMP
PATHOLOGY,Tennessee,
PHARMACOLOGY (ADDICTION SCIENCE AND TOXICOLOGY),Tennessee,BCMP
PHYSIOLOGY,Tennessee,
PREVENTIVE MEDICINE,Tennessee,
BIOCHEMISTRY AND STRUCTURAL BIOLOGY,UT San Antonio-Long,BCMP
CELLULAR AND INTEGRATIVE PHYSIOLOGY,UT San Antonio-Long,
CELL SYSTEMS AND ANATOMY,UT San Antonio-Long,
EPIDEMIOLOGY AND BIOSTATISTICS,UT San Antonio-Long,DBMI
MICROBIOLOGY IMMUNOLOGY AND MOLEC GENETICS,UT San Antonio-Long,Mb;Imm;Gn
MOLECULAR MEDICINE,UT San Antonio-Long,
PHARMACOLOGY,UT San Antonio-Long,
POPULATION HEALTH SERVICES,UT San Antonio-Long,GHSM
BIOCHEMISTRY AND MOLECULAR BIOLOGY,MU South Carolina,BCMP
COMPARATIVE MEDICINE,MU South Carolina,
MICROBIOLOGY AND IMMUNOLOGY,MU South Carolina,Mb;Imm
NEUROSCIENCE,MU South Carolina,Nb
PATHOLOGY AND LAB MEDICINE,MU South Carolina,
PHARMACOLOGY,MU South Carolina,
PUBLIC HEALTH SCIENCES,MU South Carolina,
REGENERATIVE MEDICINE AND CELL BIOLOLGY,MU South Carolina,CB
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Rutgers New Jersey (RW Johnson),BCMP
NEUROSCIENCE AND CELL BIOLOGY,Rutgers New Jersey (RW Johnson),Nb;CB
PATHOLOGY AND LABORATORY MEDICINE,Rutgers New Jersey (RW Johnson),
PHARMACOLOGY,Rutgers New Jersey (RW Johnson),
BIOCHEMISTRY AND MOLECULAR BIOLOGY,MC Georgia Augusta,BCMP
CELLULAR BIOLOGY AND ANATOMY,MC Georgia Augusta,CB
NEUROSCIENCE AND REGENERATIVE MEDICINE,MC Georgia Augusta,Nb
PATHOLOGY,MC Georgia Augusta,
PHARMACOLOGY AND TOXICOLOGY,MC Georgia Augusta,
PHYSIOLOGY,MC Georgia Augusta,
POPULATION HEALTH SCIENCES,MC Georgia Augusta,SB
ANATOMY AND NEUROBIOLOGY,Northeast Ohio,Nb
PATHOLOGY,Northeast Ohio,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,UT Medical Branch,BCMP
BIOSTATISTICS,UT Medical Branch,
HEALTH POLICY AND LEGISLATIVE AFFAIRS,UT Medical Branch,HCP
INSTITUTE FOR TRANSLATIONAL SCIENCES,UT Medical Branch,
MICROBIOLOGY AND IMMUNOLOGY,UT Medical Branch,Mb;Imm
NEUROSCIENCE CELL BIOLOGY AND ANATOMY,UT Medical Branch,CB
PATHOLOGY,UT Medical Branch,
PHARMACOLOGY AND TOXICOLOGY,UT Medical Branch,
PREVENTIVE MEDICINE AND COMMUNITY HEALTH,UT Medical Branch,GHSM
BIOCHEMISTRY AND MOLEC GENETICS,Alabama,BCMP;Gn
BIOMEDICAL ENGINEERING,Alabama,
CELL DEVELOPMENTAL AND INTEGRATIVE BIOLOGY,Alabama,CB
GENETICS,Alabama,Gn
MICROBIOLOGY,Alabama,Mb
NEUROBIOLOGY,Alabama,Nb
PATHOLOGY,Alabama,
PHARMACOLOGY AND TOXICOLOGY,Alabama,
FOUNDATIONAL MEDICAL STUDIES,Oakland Beaumont,
ANATOMICAL SCIENCES,Renaissance Stony Brook,
BIOCHEMISTRY AND CELL BIOLOGY,Renaissance Stony Brook,BCMP;CB
BIOMEDICAL ENGINEERING,Renaissance Stony Brook,
BIOMEDICAL INFORMATICS,Renaissance Stony Brook,DBMI
FAMILY POPULATION AND PREVENTIVE MEDICINE,Renaissance Stony Brook,GHSM
MICROBIOLOGY AND IMMUNOLOGY,Renaissance Stony Brook,Mb;Imm
NEUROBIOLOGY AND BEHAVIOR,Renaissance Stony Brook,Nb
PATHOLOGY,Renaissance Stony Brook,
PHYSIOLOGY AND BIOPHYSICS,Renaissance Stony Brook,BCMP
AGING AND GERIATRIC RESEARCH,Florida,
ANATOMY AND CELL BIOLOGY,Florida,CB
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Florida,BCMP
BIOSTATISTICS,Florida,SB
EPIDEMIOLOGY,Florida,
HEALTH OUTCOMES AND BIOMEDICAL INFORMATICS,Florida,DBMI
MOLECULAR GENETICS AND MICROBIOL,Florida,Gn;Mb
PATHOLOGY IMMUNOL AND LAB MEDICINE,Florida,Imm
PHARMACOLOGY AND THERAPEUTICS,Florida,BCMP
PHYSIOLOGY AND FUNCTIONAL GENOMICS,Florida,Gn
BIOCHEMISTRY AND MOLECULAR BIOL,Oklahoma,BCMP
CELL BIOLOGY,Oklahoma,CB
MICROBIOLOGY AND IMMUNOLOGY,Oklahoma,Mb;Imm
PHYSIOLOGY,Oklahoma,
POPULATION HEALTH SCIENCES,Geisinger Commonwealth,
TRANSLATIONAL DATA SCIENCE AND INFORMATICS,Geisigner Commonwealth,DBMI
MOLECULAR AND FUNCTIONAL GENOMICS,Geisinger Commonwealth,Gn
CELLULAR BIOLOGY AND PHARMACOLOGY,FIU-Wertheim,BCMP
HUMAN AND MOLECULAR GENETICS,FIU-Wertheim,Gn
IMMUNOLOGY AND NANO-MEDICINE,FIU-Wertheim,Imm
BIOMEDICAL AND HEALTH INFORMATICS,Missouri Kansas City,DBMI
MEDICAL HUMANITIES AND BIOETHICS,Missouri Kansas City,GHSM
BIOCHEMISTRY AND CANCER BIOLOGY (NEUROSCIENCE AND PHARMACOLOGY),Meharry,BCMP;Nb
MICROBIOLOGY AND IMMUNOLOGY (AND PHYSIOLOGY),Meharry,Mb;Imm
PROFESSIONAL AND MEDICAL EDUCATION,Meharry,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Arkansas,BCMP
BIOMEDICAL INFORMATICS,Arkansas,DBMI
BIOSTATISTICS,Arkansas,SB
MICROBIOLOGY AND IMMUNOLOGY,Arkansas,Mb;Imm
NEUROBIOLOGY AND DEVELOPMENTAL SCIS,Arkansas,Nb
PHARMACOLOGY AND TOXICOLOGY,Arkansas,BCMP
PHYSIOLOGY AND CELL BIOLOGY,Arkansas,CB
CELL BIOLOGY AND ANATOMY,South Carolina Columbia,CB
PATHOLOGY MICROBIOLOGY AND IMMUNOLOGY,South Carolina Columbia,Mb;Imm
PHARMACOLOGY PHYSIOLOGY AND NEUROSCIENCE,South Carolina Columbia,Nb;BCMP
BIOCHEMISTRY AND MOLECULAR MEDICINE,UC Davis,BCMP
CELL BIOLOGY AND HUMAN ANATOMY,UC Davis,CB
MEDICAL MICROBIOLOGY AND IMMUNOLOGY,UC Davis,Mb;Imm
PHARMACOLOGY,UC Davis,BCMP
PHYSIOLOGY AND MEMBRANE BIOLOGY,UC Davis,
PUBLIC HEALTH SCIENCES,UC Davis,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,LSU New Orleans,BCMP
CELL BIOLOGY AND ANATOMY,LSU New Orleans,CB
GENETICS,LSU New Orleans,Gn
MICROBIOLOGY IMMUN AND PARASITOLOGY,LSU New Orleans,Mb;Imm
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,LSU New Orleans,BCMP
PHYSIOLOGY,LSU New Orleans,
BIOCHEMISTRY,Missouri Columbia,BCMP
MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,Missouri Columbia,Mb;Imm
PATHOLOGY AND ANATOMICAL SCIENCES,Missouri Columbia,
HEALTH MANAGEMENT AND INFORMATICS,Missouri Columbia,GHSM;DBMI
MEDICAL PHARMACOLOGY AND PHYSIOLOGY,Missouri Columbia,BCMP
ARTIFICIAL INTELLIGENCE AND INFORMATICS,Mayo-Alix,DBMI
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Mayo-Alix,BCMP
BIOMEDICAL STATISTICS AND INFORMATICS,Mayo-Alix,SB;DBMI
CANCER BIOLOGY,Mayo-Alix,
EXPERIMENTAL PATHOLOGY AND LABORATORY MEDICINE,Mayo-Alix,
HEALTH CARE POLICY AND RESEARCH,Mayo-Alix,HCP
IMMUNOLOGY,Mayo-Alix,Imm
MOLECULAR MEDICINE,Mayo-Alix,
MOLECULAR PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Mayo-Alix,BCMP
NEUROSCIENCE,Mayo-Alix,Nb
PHYSIOLOGY AND BIOMEDICAL ENGINEERING,Mayo-Alix,
QUANTITATIVE HEALTH SCIENCES,Mayo-Alix,SB
BEHAVIORAL SCIENCES AND SOCIAL MEDICINE,Florida State,GHSM
BIOMEDICAL SCIENCES,Florida State,
NEUROSCIENCE,Florida State,Nb
MOLECULAR BIOPHYSICS,Florida State,BCMP
ANATOMY,Howard,
BIOCHEM AND MOLECULAR BIOLOGY,Howard,BCMP
MICROBIOLOGY,Howard,Mb
PATHOLOGY,Howard,
PHARMACOLOGY,Howard,BCMP
PHYSIOLOGY AND BIOPHYSICS,Howard,BCMP
BIOCHEMISTRY AND MOLECULAR BIOLOGY,LSU Shreveport,BCMP
CELLULAR BIOLOGY AND ANATOMY,LSU Shreveport,CB
MICROBIOLOGY AND IMMUNOLOGY,LSU Shreveport,Mb;Imm
MOLECULAR AND CELLULAR PHYSIOLOGY,LSU Shreveport,
PHARMACOLOGY TOXICOLOGY AND NEUROSCIENCE,LSU Shreveport,
ANATOMY AND NEUROBIOLOGY,UC Irvine,Nb
BIOLOGICAL CHEMISTRY,UC Irvine,BCMP
EPIDEMIOLOGY,UC Irvine,
MICROBIOLOGY AND MOLECULAR GENETICS,UC Irvine,Mb;Gn
PHARMACOLOGY,UC Irvine,BCMP
PHYSIOLOGY AND BIOPHYSICS,UC Irvine,BCMP
BASIC SCIENCE,California Northstate,
MOLECULAR MEDICINE,Zucker Hofstra Northwell,BCMP
OCCUPATIONAL MEDICINE EPIDEMIOLOGY AND PREVENTION,Zucker Hofstra Northwell,GHSM
PATHOLOGY AND LABORATORY MEDICINE,Zucker Hofstra Northwell,
BIOCHEMISTRY AND MOLEC BIOLOGY,Wright State-Boonshoft,BCMP
NEUROSCIENCE CELL BIOL AND PHYSIOLOGY,Wright State-Boonshoft,Nb;CB
PATHOLOGY,Wright State-Boonshoft,
PHARMACOLOGY AND TOXICOLOGY,Wright State-Boonshoft,
POPULATION AND PUBLIC HEALTH SCIENCES,Wright State-Boonshoft,
COMMUNITY HEALTH AND PREVENTIVE MEDICINE,Morehouse,
MICROBIOLOGY BIOCHEM AND IMMUNOLOGY,Morehouse,Mb;Imm;BCMP
NEUROBIOLOGY,Morehouse,Nb
PATHOLOGY AND ANATOMY,Morehouse,
PHARMACOLOGY AND TOXICOLOGY,Morehouse,
PHYSIOLOGY,Morehouse,
CELLULAR AND MOLECULAR MEDICINE,Arizona,CB
CHEMISTRY AND BIOCHEMISTRY,Arizona,BCMP
IMMUNOBIOLOGY,Arizona,Imm
PHARMACOLOGY,Arizona,BCMP
PHYSIOLOGY,Arizona,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,UT Houston-McGovern,BCMP
INTEGRATIVE BIOLOGY AND PHARMACOLOGY,UT Houston-McGovern,BCMP
MICROBIOLOGY AND MOLEC GENETICS,UT Houston-McGovern,Mb;Gn
NEUROBIOLOGY AND ANATOMY,UT Houston-McGovern,Nb
PATHOLOGY AND LABORATORY MEDICINE,UT Houston-McGovern,
Biomedical Sciences,South Carolina Greenville,CB
CELL AND MOLECULAR BIOLOGY,Mississippi,CB;BCMP
MICROBIOLOGY AND IMMUNOLOGY,Mississippi,Mb;Imm
NEUROBIOLOGY AND ANATOMICAL SCIENCES,Mississippi,Nb
PATHOLOGY,Mississippi,
PHARMACOLOGY AND TOXICOLOGY,Mississippi,
PHYSIOLOGY AND BIOPHYSICS,Mississippi,BCMP
PREVENTIVE MEDICINE,Mississippi,
CELL BIOLOGY,Connecticut,CB
GENETICS AND GENOME SCIENCES,Connecticut,Gn
IMMUNOLOGY,Connecticut,Imm
MOLECULAR BIOLOGY AND BIOPHYSICS,Connecticut,BCMP
NEUROSCIENCE,Connecticut,Nb
PATHOLOGY AND LABORATORY MEDICINE,Connecticut,
PUBLIC HEALTH SCIENCES,Connecticut,
SCHOOL OF BIOMEDICAL SCIENCES,UCF,
POPULATION HEALTH SCIENCES,UCF,GHSM
BIOMEDICAL SCIENCES,Cooper Rowan,
BIOCHEMISTRY,UT Southwestern,BCMP
BIOPHYSICS,UT Southwestern,BCMP
CELL BIOLOGY,UT Southwestern,CB
IMMUNOLOGY,UT Southwestern,Imm
BIOINFORMATICS,UT Southwestern,DBMI
MICROBIOLOGY,UT Southwestern,Mb
MOLECULAR BIOLOGY,UT Southwestern,BCMP
MOLECULAR GENETICS,UT Southwestern,Gn
NEUROSCIENCE,UT Southwestern,Nb
PHARMACOLOGY,UT Southwestern,BCMP
PHYSIOLOGY,UT Southwestern,
POPULATION AND DATA SCIENCES,UT Southwestern,
BIOMEDICAL INFORMATICS,Western Michigan-Stryker,DBMI
BIOMEDICAL SCIENCES,Western Michigan-Stryker,
MEDICAL ETHICS HUMANITIES AND LAW,Western Michigan-Stryker,
PATHOLOGY,Western Michigan-Stryker,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,New Mexico,BCMP
CELL BIOLOGY AND PHYSIOLOGY,New Mexico,CB
MOLECULAR GENETICS AND MICROBIOLOGY,New Mexico,Gn;Mb
NEUROSCIENCES,New Mexico,Nb
PATHOLOGY,New Mexico,
ANATOMY BIOCHEM AND PHYSIOLOGY,Hawaii-Burns,BCMP
CELL AND MOLECULAR BIOLOGY,Hawaii-Burns,CB
NATIVE HAWAIIAN HEALTH,Hawaii-Burns,GHSM
QUANTITATIVE HEALTH SCIENCES,Hawaii-Burns,DBMI;SB
PATHOLOGY,Hawaii-Burns,
CELL BIOLOGY AND BIOCHEMISTRY,Texas Tech,CB;BCMP
CELLULAR PHYSIOLOGY AND MOLEC BIOPHYSICS,Texas Tech,BCMP
IMMUNOLOGY AND MOLECULAR MICROBIOLOGY,Texas Tech,Imm;Mb
MEDICAL EDUCATION,Texas Tech,
PHARMACOLOGY AND NEUROSCIENCE,Texas Tech,BCMP;Nb
HUMANITIES IN MEDICINE,Texas A & M,GHSM
MEDICAL EDUCATION,Texas A & M,
MEDICAL PHYSIOLOGY,Texas A & M,
MICROBIAL PATHOGENESIS AND IMMUNOLOGY,Texas A & M,
MOLECULAR AND CELLULAR MEDICINE,Texas A & M,BCMP;CB
NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,Texas A & M,Nb
TRANSLATIONAL MEDICAL SCIENCES,Texas A & M,
ANATOMY,Southern Illinois (Carbondale),
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Southern Illinois (Carbondale),BCMP
PHYSIOLOGY,Southern Illinois (Carbondale),
MEDICAL EDUCATION,Southern Illinois (Carbondale),
INFORMATION AND COMMUNICATION SCIENCES,Southern Illinois (Springfield),DBMI
MEDICAL EDUCATION,Southern Illinois (Springfield),
MEDICAL HUMANITIES,Southern Illinois (Springfield),GHSM
MEDICAL MICROBIOLOGY IMMUNOLOGY AND CELL BIOLOGY,Southern Illinois (Springfield),Mb;Imm;CB
PHARMACOLOGY,Southern Illinois (Springfield),BCMP
POPULATION SCIENCES AND POLICY,Southern Illinois (Springfield),HCP
BASIC MEDICAL SCIENCES,Arizona (Phoenix),
BIOETHICS AND MEDICAL HUMANISM,Arizona (Phoenix),GHSM
BIOMEDICAL INFORMATICS,Arizona (Phoenix),DBMI
PATHOLOGY,Arizona (Phoenix),
TRANSLATIONAL NEUROSCIENCES,Arizona (Phoenix),Nb
ANATOMY AND CELL BIOLOGY,Caribe,CB
BIOCHEMISTRY,Caribe,BCMP
MICROBIOLOGY AND IMMUNOLOGY,Caribe,Mb;Imm
NEUROSCIENCE,Caribe,Nb
PHARMACOLOGY,Caribe,BCMP
PHYSIOLOGY,Caribe,
BASIC BIOMEDICAL SCIENCES,South Dakota-Sanford,
NEUORSCIENCES,South Dakota-Sanford,Nb
BIOMEDICAL SCIENCES,East Tennessee-Quillen,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,South Alabama,BCMP
COMPARATIVE MEDICINE,South Alabama,
MICROBIOLOGY AND IMMUNOLOGY,South Alabama,Mb;Imm
PHARMACOLOGY,South Alabama,BCMP
PHYSIOLOGY AND CELL BIOLOGY,South Alabama,CB
MICROBIOLOGY AND IMMUNOLOGY,Nevada Reno,Mb;Imm
PATHOLOGY,Nevada Reno,
PHARMACOLOGY,Nevada Reno,BCMP
PHYSIOLOGY AND CELL BIOLOGY,Nevada Reno,CB
BIOMEDICAL SCIENCES,Marshall-Edwards,
CLINICAL AND TRANSITIONAL SCIENCES,Marshall-Edwards,
MOLECULAR CELLULAR AND BIOMEDICAL SCIENCES,CUNY,CB
BIOMEDICAL SCIENCE,Florida Atlantic-Schmidt,
BASIC SCIENCE EDUCATION,Virginia Tech Carilion,
ANATOMY AND NEUROBIOLOGY,Puerto Rico,Nb
BIOCHEMISTRY,Puerto Rico,BCMP
MICROBIOLOGY,Puerto Rico,Mb
PHARMACOLOGY AND TOXICOLOGY,Puerto Rico,BCMP
PHYSIOLOGY,Puerto Rico,
MOLECULAR AND TRANSITIONAL MEDICINE,Texas Tech-Foster,BCMP
ANATOMY AND CELL BIOLOGY,East Carolina-Brody,CB
BIOCHEMISTRY AND MOLECULAR BIOLOGY,East Carolina-Brody,BCMP
BIOETHICS AND INTERDISCIPLINARY STUDIES,East Carolina-Brody,GHSM
COMPARATIVE MEDICINE,East Carolina-Brody,
MICROBIOLOGY AND IMMUNOLOGY,East Carolina-Brody,Mb;Imm
PHARMACOLOGY AND TOXICOLOGY,East Carolina-Brody,BCMP
PHYSIOLOGY,East Carolina-Brody,
PUBLIC HEALTH,East Carolina-Brody,
ANATOMY,San Juan Bautista,
BIOCHEMISTRY/PHARMACOLOGY,San Juan Bautista,
MICROBIOLOGY,San Juan Bautista,
PHYSIOLOGY/PATHOLOGY,San Juan Bautista,
BIOMEDICAL SCIENCES,UC Riverside,
SOCIAL MEDICINE POPULATION AND PUBLIC HEALTH,UC Riverside,GHSM
TRANSLATIONAL MEDICINE AND PHYSIOLOGY,Washington State-Floyd,
MEDICAL SCIENCES,Hackensack Meridian,
HUMAN GENETICS,UT Rio Grande Valley,Gn
IMMUNOLOGY AND MICROBIOLOGY,UT Rio Grande Valley,Imm;Mb
MOLECULAR SCIENCE,UT Rio Grande Valley,BCMP
NEUROSCIENCE,UT Rio Grande Valley,Nb
PHARMACOLOGY,UT Rio Grande Valley,BCMP
POPULATION HEALTH AND BIOSTATISTICS,UT Rio Grande Valley,GHSM;HCP
