department_name,school,harvard_equivalent
MOLECULAR PHARMACOLOGY AND THERAPEUTICS,Columbia-Vagelos,BCMP
NEUROSCIENCE,Columbia-Vagelos,Nb
PHYSIOLOGY AND CELLULAR BIOPHYSICS,Columbia-Vagelos,CB
SYSTEMS BIOLOGY,Columbia-Vagelos,SB
BIOLOGICAL CHEMISTRY AND PHARMACOLOGY,Ohio State,BCMP
BIOMEDICAL INFORMATICS,Ohio State,DBMI
CANCER BIOLOGY AND GENETICS,Ohio State,Gen;CB
BIOMEDICAL EDUCATION AND ANATOMY,Ohio State,
MICROBIAL INFECTION AND IMMUNITY,Ohio State,Mb;Imm
NEUROSCIENCE,Ohio State,Nb
PHYSIOLOGY AND CELL BIOLOGY,Ohio State,CB
BIOCHEMISTRY AND BIOPHYSICS,Pennsylvania-Perelman,BCMP
BIOSTATISTICS EPIDEMIOLOGY AND INFORMATICS,Pennsylvania-Perelman,DBMI;SB
CANCER BIOLOGY,Pennsylvania-Perelman,CB
CELL AND DEVELOPMENTAL BIOLOGY,Pennsylvania-Perelman,CB
GENETICS,Pennsylvania-Perelman,Gn
MEDICAL ETHICS AND HEALTH POLICY,Pennsylvania-Perelman,GHSM;HCP
MICROBIOLOGY,Pennsylvania-Perelman,Mb
NEUROSCIENCE,Pennsylvania-Perelman,Nb
PHYSIOLOGY,Pennsylvania-Perelman,
SYSTEMS PHARMACOLOGY AND TRANSLATIONAL THERAPEUTICS,Pennsylvania-Perelman,BCMP
CELLULAR AND MOLECULAR PHYSIOLOGY,Yale,BCMP;CB
GENETICS,Yale,Gn
IMMUNOBIOLOGY,Yale,Imm
MOLECULAR BIOPHYSICS AND BIOCHEMISTRY,Yale,BCMP
NEUROSCIENCE,Yale,Nb
CELL BIOLOGY,Yale,CB
MICROBIAL PATHOGENESIS,Yale,Mb
COMPARATIVE MEDICINE,Yale,
LABORATORY MEDICINE,Yale,
BIOCHEMISTRY,Stanford,BCMP
BIOENGINEERING,Stanford,
BIOMEDICAL DATA SCIENCES,Stanford,DBMI
CHEMICAL AND SYSTEMS BIOLOGY,Stanford,SB
COMPARATIVE MEDICINE,Stanford,
DEVELOPMENTAL BIOLOGY,Stanford,
EPIDEMIOLOGY AND POPULATION HEALTH,Stanford,
GENETICS,Stanford,Gn
MICROBIOLOGY AND IMMUNOLOGY,Stanford,Mb;Imm
MOLECULAR AND CELLULAR PHYSIOLOGY,Stanford,BCMP;CB
NEUROBIOLOGY,Stanford,Nb
STRUCTURAL BIOLOGY,Stanford,
ANATOMY CELL BIOLOGY AND PHYSIOLOGY,Indiana,CB
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Indiana,BCMP
BIOSTATISTICS AND HEALTH DATA SCIENCE,Indiana,DBMI;SB
MICROBIOLOGY AND IMMUNOLOGY,Indiana,Mb;Imm
PHARMACOLOGY AND TOXICOLOGY,Indiana,BCMP
BIOCHEMISTRY,U Washington,BCMP
BIOENGINEERING,U Washington,
BIOETHICS AND HUMANITIES,U Washington,GHSM
BIOMEDICAL INFORMATICS AND MEDICAL EDUCATION,U Washington,DBMI
BIOLOGICAL STRUCTURE,U Washington,
GENOME SCIENCES,U Washington,Gn
GLOBAL HEALTH,U Washington,GHSM
IMMUNOLOGY,U Washington,Imm
MICROBIOLOGY,U Washington,Mb
MOLECULAR AND CELLULAR BIOLOGY,U Washington,CB
NEUROSCIENCE,U Washington,Nb
PATHOLOGY,U Washington,
MOLECULAR MEDICINE AND MECHANISMS OF DISEASE,U Washington,
PHARMACOLOGY,U Washington,BCMP
PHYSIOLOGY AND BIOPHYSICS,U Washington,BCMP
REHABILITATION MEDICINE,U Washington,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Jefferson-Kimmel,BCMP
CANCER BIOLOGY,Jefferson-Kimmel,
MICROBIOLOGY AND IMMUNOLOGY,Jefferson-Kimmel,Mb;Imm
MOLECULAR PHYSIOLOGY AND BIOPHYSICS,Jefferson-Kimmel,BCMP
NEUROSCIENCE,Jefferson-Kimmel,Nb
PATHOLOGY ANATOMY AND CELL BIOLOGY,Jefferson-Kimmel,CB
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Jefferson-Kimmel,BCMP
BIOCHEMISTRY,MC Wisconsin,BCMP
BIOMEDICAL ENGINEERING,MC Wisconsin,
BIOPHYSICS,MC Wisconsin,BCMP
CELL BIOLOGY NEUROBIOLOGY AND ANATOMY,MC Wisconsin,CB;Nb
PHARMACOLOGY AND TOXICOLOGY,MC Wisconsin,BCMP
PHYSIOLOGY,MC Wisconsin,
BIOCHEMISTRY AND MOLEC PHARMACOLOGY,NYU-Grossman,BCMP
CELL BIOLOGY,NYU-Grossman,CB
ENVIRONMENTAL MEDICINE,NYU-Grossman,
MICROBIOLOGY,NYU-Grossman,Mb
NEUROSCIENCE AND PHYSIOLOGY,NYU-Grossman,Nb
PATHOLOGY,NYU-Grossman,
POPULATION HEALTH,NYU-Grossman,GHSM
ANATOMY,UC San Fransisco,
BIOCHEMISTRY AND BIOPHYSICS,UC San Fransisco,BCMP
CELLULAR AND MOLECULAR PHARMACOLOGY,UC San Fransisco,BCMP;CB
EPIDEMIOLOGY AND BIOSTATISTICS,UC San Fransisco,SB
LABORATORY MEDICINE,UC San Fransisco,
HUMANITIES AND SOCIAL SCIENCES,UC San Fransisco,GHSM
MICROBIOLOGY AND IMMUNOLOGY,UC San Fransisco,Mb;Imm
PHYSIOLOGY,UC San Fransisco,
BIOCHEMISTRY AND MOLECULAR BIOLOGY,Miami-Miller,BCMP
CELL BIOLOGY,Miami-Miller,CB
