school,department_name,harvard_equivalent,nih_2018
Georgetown,RADIATION MEDICINE,NA,NA
Tufts,DEVELOPMENTAL MOLEC AND CHEMICAL BIOL,BCMP,5597499
Tufts,IMMUNOLOGY,Imm,NA
Tufts,MOLECULAR BIOLOGY AND MICROBIOLOGY,Mb;Gn,10544749
Tufts,NEUROSCIENCE,Nb,10644319
Columbia-Vagelos,BIOCHEMISTRY AND MOLECULAR BIOPHYSICS,BCMP,25320190
Columbia-Vagelos,BIOMEDICAL INFORMATICS,DBMI,NA
Columbia-Vagelos,GENETICS AND DEVELOPMENT,Gn,14578185
Columbia-Vagelos,MEDICAL HUMANITIES AND ETHICS,GHSM,NA
Columbia-Vagelos,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,8034207
Columbia-Vagelos,MOLECULAR PHARMACOLOGY AND THERAPEUTICS,BCMP,NA
Columbia-Vagelos,NEUROSCIENCE,Nb,17064818
Columbia-Vagelos,PHYSIOLOGY AND CELLULAR BIOPHYSICS,CB,7595063
Columbia-Vagelos,SYSTEMS BIOLOGY,SB,626757
Ohio State,BIOLOGICAL CHEMISTRY AND PHARMACOLOGY,BCMP,3728361
Ohio State,BIOMEDICAL INFORMATICS,DBMI,435907
Ohio State,CANCER BIOLOGY AND GENETICS,Gen;CB,4420627
Ohio State,BIOMEDICAL EDUCATION AND ANATOMY,NA,NA
Ohio State,MICROBIAL INFECTION AND IMMUNITY,Mb;Imm,5121254
Ohio State,NEUROSCIENCE,Nb,6121014
Ohio State,PHYSIOLOGY AND CELL BIOLOGY,CB,9706109
Pennsylvania-Perelman,BIOCHEMISTRY AND BIOPHYSICS,BCMP,7495238
Pennsylvania-Perelman,BIOSTATISTICS EPIDEMIOLOGY AND INFORMATICS,DBMI;SB,25399567
Pennsylvania-Perelman,CANCER BIOLOGY,CB,7409704
Pennsylvania-Perelman,CELL AND DEVELOPMENTAL BIOLOGY,CB,16424618
Pennsylvania-Perelman,GENETICS,Gn,10859779
Pennsylvania-Perelman,MEDICAL ETHICS AND HEALTH POLICY,GHSM;HCP,4307002
Pennsylvania-Perelman,MICROBIOLOGY,Mb,14134132
Pennsylvania-Perelman,NEUROSCIENCE,Nb,17569009
Pennsylvania-Perelman,PHYSIOLOGY,NA,7638954
Pennsylvania-Perelman,SYSTEMS PHARMACOLOGY AND TRANSLATIONAL THERAPEUTICS,BCMP,30589435
Yale,CELLULAR AND MOLECULAR PHYSIOLOGY,BCMP;CB,10319052
Yale,GENETICS,Gn,16402335
Yale,IMMUNOBIOLOGY,Imm,12245346
Yale,MOLECULAR BIOPHYSICS AND BIOCHEMISTRY,BCMP,14156788
Yale,NEUROSCIENCE,Nb,9085137
Yale,CELL BIOLOGY,CB,12026152
Yale,MICROBIAL PATHOGENESIS,Mb,8564587
Yale,COMPARATIVE MEDICINE,NA,10373862
Yale,LABORATORY MEDICINE,NA,5215217
Stanford,BIOCHEMISTRY,BCMP,10291583
Stanford,BIOENGINEERING,NA,13064172
Stanford,BIOMEDICAL DATA SCIENCES,DBMI,NA
Stanford,CHEMICAL AND SYSTEMS BIOLOGY,SB,7239999
Stanford,COMPARATIVE MEDICINE,NA,2528802
Stanford,DEVELOPMENTAL BIOLOGY,NA,9207359
Stanford,EPIDEMIOLOGY AND POPULATION HEALTH,NA,NA
Stanford,GENETICS,Gn,47625285
Stanford,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,14818291
Stanford,MOLECULAR AND CELLULAR PHYSIOLOGY,BCMP;CB,8969109
Stanford,NEUROBIOLOGY,Nb,7522184
Stanford,STRUCTURAL BIOLOGY,NA,10080314
Indiana,ANATOMY CELL BIOLOGY AND PHYSIOLOGY,CB,5579419
Indiana,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,7523984
Indiana,BIOSTATISTICS AND HEALTH DATA SCIENCE,DBMI;SB,1274130
Indiana,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,9681304
Indiana,PHARMACOLOGY AND TOXICOLOGY,BCMP,5176083
U Washington,BIOCHEMISTRY,BCMP,13609558
U Washington,BIOENGINEERING,NA,7561810
U Washington,BIOETHICS AND HUMANITIES,GHSM,NA
U Washington,BIOMEDICAL INFORMATICS AND MEDICAL EDUCATION,DBMI,1839095
U Washington,BIOLOGICAL STRUCTURE,NA,5056030
U Washington,GENOME SCIENCES,Gn,20949701
U Washington,GLOBAL HEALTH,GHSM,16660200
U Washington,IMMUNOLOGY,Imm,11395827
U Washington,MICROBIOLOGY,Mb,10259224
U Washington,MOLECULAR AND CELLULAR BIOLOGY,CB,NA
U Washington,NEUROSCIENCE,Nb,NA
U Washington,PATHOLOGY,NA,24718297
U Washington,MOLECULAR MEDICINE AND MECHANISMS OF DISEASE,NA,NA
U Washington,PHARMACOLOGY,BCMP,7511128
U Washington,PHYSIOLOGY AND BIOPHYSICS,BCMP,12114301
U Washington,REHABILITATION MEDICINE,NA,3107683
Jefferson-Kimmel,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,6517341
Jefferson-Kimmel,CANCER BIOLOGY,NA,8318305
Jefferson-Kimmel,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,4595971
Jefferson-Kimmel,MOLECULAR PHYSIOLOGY AND BIOPHYSICS,BCMP,NA
Jefferson-Kimmel,NEUROSCIENCE,Nb,7926748
Jefferson-Kimmel,PATHOLOGY ANATOMY AND CELL BIOLOGY,CB,7886704
Jefferson-Kimmel,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,805136
MC Wisconsin,BIOCHEMISTRY,BCMP,5537537
MC Wisconsin,BIOMEDICAL ENGINEERING,NA,2279536
MC Wisconsin,BIOPHYSICS,BCMP,683069
MC Wisconsin,CELL BIOLOGY NEUROBIOLOGY AND ANATOMY,CB;Nb,NA
MC Wisconsin,PHARMACOLOGY AND TOXICOLOGY,BCMP,4711478
MC Wisconsin,PHYSIOLOGY,NA,6662291
NYU-Grossman,BIOCHEMISTRY AND MOLEC PHARMACOLOGY,BCMP,11238610
NYU-Grossman,CELL BIOLOGY,CB,9415534
NYU-Grossman,ENVIRONMENTAL MEDICINE,NA,6947453
NYU-Grossman,MICROBIOLOGY,Mb,11972146
NYU-Grossman,NEUROSCIENCE AND PHYSIOLOGY,Nb,190519
NYU-Grossman,PATHOLOGY,NA,20132370
NYU-Grossman,POPULATION HEALTH,GHSM,NA
UC San Fransisco,ANATOMY,NA,12158134
UC San Fransisco,BIOCHEMISTRY AND BIOPHYSICS,BCMP,23733956
UC San Fransisco,CELLULAR AND MOLECULAR PHARMACOLOGY,BCMP;CB,15522051
UC San Fransisco,EPIDEMIOLOGY AND BIOSTATISTICS,SB,14309908
UC San Fransisco,LABORATORY MEDICINE,NA,5337792
UC San Fransisco,HUMANITIES AND SOCIAL SCIENCES,GHSM,1198567
UC San Fransisco,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,13823123
UC San Fransisco,PHYSIOLOGY,NA,14872286
Miami-Miller,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,4513682
Miami-Miller,CELL BIOLOGY,CB,2457853
Miami-Miller,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,9125108
Miami-Miller,MOLECULAR AND CELLULAR PHARMACOLOGY,BCMP;CB,3061222
Miami-Miller,PHYSIOLOGY AND BIOPHYSICS,BCMP,2470008
Miami-Miller,PUBLIC HEALTH SCIENCES,NA,5388374
Illinois,MEDICAL INFORMATION SCIENCE,DBMI,NA
Illinois,BIOCHEMISTRY,BCMP,377748
Illinois,CELL AND DEVELOPMENTAL BIOLOGY,CB,NA
Illinois,MICROBIOLOGY,Mb,NA
Illinois,MOLECULAR AND INTEGRATIVE PHYSIOLOGY,NA,NA
Illinois,PATHOLOGY,NA,1121037
Illinois,PHARMACOLOGY,BCMP,12356988
Illinois,BIOMEDICAL SCIENCES,DBMI,725319
Illinois,CANCER BIOLOGY AND PHARMACOLOGY,NA,1078762
Illinois,ANATOMY AND CELL BIOLOGY,CB,2915221
Illinois,BIOCHEMISTRY AND MOLECULAR GENETICS,Gn,6730138
Illinois,BIOENGINEERING,NA,3214034
Illinois,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,5498922
Illinois,PHARMACOLOGY AND REGENERATIVE MEDICINE,SCRB,NA
Washington U St Louis,BIOCHEMISTRY AND MOLECULAR BIOPHYSICS,BCMP,5017748
Washington U St Louis,CELL BIOLOGY AND PHYSIOLOGY,CB,7658112
Washington U St Louis,DEVELOPMENTAL BIOLOGY,NA,7002802
Washington U St Louis,GENETICS,Gn,14577595
Washington U St Louis,MOLECULAR MICROBIOLOGY,Mb,14964327
Washington U St Louis,NEUROSCIENCE,Nb,21785337
Washington U St Louis,PATHOLOGY AND IMMUNOLOGY,Imm,33474950
Washington U St Louis,BIOSTATISTICS,SB,842589
Tulane,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,2425489
Tulane,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,10479645
Tulane,PATHOLOGY AND LABORATORY MEDICINE,NA,2750980
Tulane,PHARMACOLOGY,BCMP,2071485
Tulane,PHYSIOLOGY,NA,2030627
Tulane,STRUCTURAL AND CELLULAR BIOLOGY,CB,688538
Duke,BIOCHEMISTRY,BCMP,5903617
Duke,BIOSTATISTICS AND BIOINFORMATICS,SB;DBMI,18312249
Duke,CELL BIOLOGY,CB,12927520
Duke,IMMUNOLOGY,Imm,4410734
Duke,MOLECULAR GENETICS AND MICROBIOLOGY,Mb;Gn,19767470
Duke,NEUROBIOLOGY,Nb,8137284
Duke,PHARMACOLOGY AND CANCER BIOLOGY,BCMP;CB,15718996
Duke,POPULATION HEALTH SCIENCES,GHSM,3000221
Wake Forest,BIOCHEMISTRY,BCMP,1483892
Wake Forest,BIOMEDICAL ENGINEERING,NA,661046
Wake Forest,BIOSTATISTICAL SCIENCES,SB;DBMI,3152454
Wake Forest,CANCER BIOLOGY,CB,7431341
Wake Forest,COMPARATIVE MEDICINE,NA,NA
Wake Forest,EPIDEMIOLOGY AND PREVENTION,NA,NA
Wake Forest,IMPLEMENTATION SCIENCE,NA,NA
Wake Forest,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,1596227
Wake Forest,MOLECULAR MEDICINE,BCMP,NA
Wake Forest,NEUROBIOLOGY AND ANATOMY,Nb,3716481
Wake Forest,PUBLIC HEALTH SCIENCES,NA,9830067
Wake Forest,SOCIAL SCIENCES AND HEALTH POLICY,HCP;GHSM,2231223
Wayne State,OPHTHAMOLOGY VISUAL AND ANATOMICAL SCIENCES,NA,NA
Wayne State,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,49524
Wayne State,IMMUNOLOGY AND MICROBIOLOGY,Mb;Imm,1263718
Wayne State,ONCOLOGY,CB,10117193
Wayne State,PHARMACOLOGY,BCMP,1722787
Wayne State,PHYSIOLOGY,BCMP,5048369
Cornell-Weill,BIOCHEMISTRY,BCMP,4427837
Cornell-Weill,BRAIN AND MIND RESEARCH INSTITUTE,Nb,2297828
Cornell-Weill,CELL AND DEVELOPMENTAL BIOLOGY,CB,941203
Cornell-Weill,GENETIC MEDICINE,Gn,2096724
Cornell-Weill,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,14691188
Cornell-Weill,PHARMACOLOGY,BCMP,7666879
Cornell-Weill,PHYSIOLOGY AND BIOPHYSICS,BCMP,10085450
Brown-Alpert,ECOLOGY AND EVOLUTIONARY BIOLOGY,NA,5302760
Brown-Alpert,MOLECULAR BIOL CELL BIOL AND BIOCHEMISTRY,BCMP;CB,10463662
Brown-Alpert,MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,3977727
Brown-Alpert,MOLECULAR PHARM PHYSIOLOGY AND BIOTECH,BCMP,2010530
Brown-Alpert,NEUROSCIENCE,Nb,12273436
Brown-Alpert,PATHOLOGY AND LAB MEDICINE,NA,5030176
Brown-Alpert,MEDICAL SCIENCE,NA,NA
Einstein,ANATOMY AND STRUCTURAL BIOLOGY,NA,NA
Einstein,BIOCEHMISTRY,BCMP,NA
Einstein,CELL BIOLOGY,CB,NA
Einstein,DEVELOPMENTAL AND MOLECULAR BIOLOGY,BCMP,NA
Einstein,EPIDEMIOLOGY AND POPULATION HEALTH,GBSM,NA
Einstein,GENETICS,Gn,NA
Einstein,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,NA
Einstein,MOLECULAR PHARMACOLOGY,BCMP,NA
Einstein,NEUROSCIENCE,Nb,NA
Einstein,PATHOLOGY,NA,NA
Einstein,PHYSIOLOGY AND BIOPHYSICS,BCMP,NA
Temple-Katz,CENTER FOR BIOSTATISTICS AND EPIDEMIOLOGY,DBMI,NA
Temple-Katz,FELS INST FOR CANCER RESEARCH AND MOLECULAR BIOLOGY,CB,3918065
Temple-Katz,CENTER FOR TRANSLATIONAL MEDICINE,BCMP,2362544
Temple-Katz,CARDIOVASCULAR RESEARCH CENTER,NA,6933296
Temple-Katz,LEMOLE CENTER FOR INTEGRATED LYMPHATICS RESEARCH,NA,NA
Temple-Katz,CENTER FOR METABOLIC DISEASE RESEARCH,NA,2171293
Temple-Katz,THROMBOSIS RESEARCH CENTER,NA,3080210
Temple-Katz,MEDICAL GENETICS AND MOLEC BIOCHEMISTRY,Gn;BCMP,961378
Temple-Katz,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,1798143
Temple-Katz,NEUROVIROLOGY AND GENE EDITING,Gn;Nb,NA
Temple-Katz,LUNG RESEARCH CENTER,NA,970459
Temple-Katz,CENTER FOR SUBSTANCE ABUSE RESEARCH,Nb,4280881
Temple-Katz,ALZHEIMER'S CENTER,Nb,NA
Temple-Katz,SHRINERS HOSPITALS PEDIATRIC RESEARCH CENTER,Nb,3725657
Temple-Katz,PATHOLOGY AND LAB MEDICINE,NA,2844459
Temple-Katz,CENTER FOR URBAN BIOETHICS,GHSM,NA
Temple-Katz,CENTER FOR ASIAN HEALTH,GHSM,1671024
Temple-Katz,HOPE CENTER FOR COLLEGE COMMUNITY AND JUSTICE,GHSM,NA
Dartmouth-Geisel,BIOCHEMISTRY AND CELL BIOLOGY,BCMP;CB,9796295
Dartmouth-Geisel,BIOMEDICAL DATA SCIENCE,DBMI,1682057
Dartmouth-Geisel,EPIDEMIOLOGY,NA,9449750
Dartmouth-Geisel,HEALTH POLICY AND CLINICAL PRACTICE,HCP,2292578
Dartmouth-Geisel,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,14560555
Dartmouth-Geisel,MOLECULAR AND SYSTEMS BIOLOGY,SB,3496836
Chicago-Pritzker,BEN MAY DEPARTMENT FOR CANCER RESEARCH,CB,NA
Chicago-Pritzker,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,9215875
Chicago-Pritzker,ECOLOGY AND EVOLUTION,NA,1928769
Chicago-Pritzker,HUMAN GENETICS,Gn,6459064
Chicago-Pritzker,MICROBIOLOGY,Mb,5199435
Chicago-Pritzker,MOLECULAR GENETICS AND CELL BIOLOGY,Gn;CB,6849118
Chicago-Pritzker,NEUROBIOLOGY,Nb,17728912
Chicago-Pritzker,ORGANISMAL BIOLOGY AND ANATOMY,NA,3001843
Chicago-Pritzker,PHARMACOLOGICAL AND PHYSIOLOGICAL SCIS,BCMP,1174525
Chicago-Pritzker,PUBLIC HEALTH SCIENCES,GHSM,4532393
Pittsburgh,BIOMEDICAL INFORMATICS,DBMI,8516874
Pittsburgh,CELL BIOLOGY,CB,3851981
Pittsburgh,COMPUTATIONAL AND SYSTEMS BIOLOGY,SB,9396495
Pittsburgh,DEVELOPMENTAL BIOLOGY,NA,3492117
Pittsburgh,IMMUNOLOGY,Imm,10678519
Pittsburgh,MICROBIOLOGY AND MOLECULAR GENETICS,Mb;Gn,13093768
Pittsburgh,NEUROBIOLOGY,Nb,8091021
Pittsburgh,PATHOLOGY,NA,9944026
Pittsburgh,PHARMACOLOGY AND CHEMICAL BIOLOGY,BCMP,15208878
Pittsburgh,STRUCTURAL BIOLOGY,NA,9054110
Eastern Virginia,MICROBIOLOGY AND MOLECULAR CELL BIOLOGY,BCMP;CB;Mb,2277551
Eastern Virginia,PATHOLOGY AND ANATOMY,NA,NA
Eastern Virginia,PHYSIOLOGICAL SCIENCES,NA,387231
New York Medical,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,NA
New York Medical,CELL BIOLOGY AND ANATOMY,CB,1429623
New York Medical,PATHOLOGY,NA,615000
New York Medical,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,416075
New York Medical,PHARMACOLOGY,BCMP,3588255
New York Medical,PHYSIOLOGY,NA,1206901
New York Medical,PUBLIC HEALTH,GHSM,NA
USF-Morsani,MOLECULAR MEDICINE,BCMP,2897135
USF-Morsani,MOLECULAR PHARMACOLOGY AND PHYSIOLOGY,BCMP,4586474
USF-Morsani,PATHOLOGY AND CELL BIOLOGY,CB,274884
Emory,BIOCHEMISTRY,BCMP,2992059
Emory,BIOMEDICAL ENGINEERING,NA,5830536
Emory,BIOMEDICAL INFORMATICS,DBMI,NA
Emory,CELL BIOLOGY,CB,8520838
Emory,HUMAN GENETICS,Gn,13177654
Emory,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,17054256
Emory,PATHOLOGY AND LAB MEDICINE,NA,26650371
Emory,PHARMACOLOGY AND CHEMICAL BIOLOGY,BCMP,11491420
Minnesota,BIOCHEMISTRY MOLECULAR BIOLOGY AND BIOPHYSICS,BCMP,16604868
Minnesota,GENETICS CELL BIOLOGY AND DEVELOPMENT,Gn;CB,8614307
Minnesota,INTEGRATIVE BIOLOGY AND PHYSIOLOGY,NA,4102422
Minnesota,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,6986482
Minnesota,NEUROSCIENCE,Nb,14319605
Minnesota,PHARMACOLOGY,BCMP,5020893
Michigan,BIOMEDICAL ENGINEERING,NA,1279150
Michigan,BIOLOGICAL CHEMISTRY,BCMP,11283668
Michigan,CELL AND DEVELOPMENTAL BIOLOGY,BCMP,10031488
Michigan,COMPUTATIONAL MEDICINE AND BIOINFORMATICS,SB;DBMI,3495422
Michigan,HUMAN GENETICS,Gn,7808347
Michigan,LEARNING HEALTH SCIENCES,NA,1260562
Michigan,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,16184854
Michigan,MOLECULAR AND INTEGRATIVE PHYSIOLOGY,BCMP,23424736
Michigan,PHARMACOLOGY,BCMP,9044248
Virginia Commonwealth,ANATOMY AND NEUROBIOLOGY,NA,3756030
Virginia Commonwealth,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,2733120
Virginia Commonwealth,BIOSTATISTICS,SB,474190
Virginia Commonwealth,HEALTH BEHAVIOR AND POLICY,HCP,745282
Virginia Commonwealth,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,5380102
Virginia Commonwealth,PHARMACOLOGY AND TOXICOLOGY,BCMP,11053670
Virginia Commonwealth,PHYSIOLOGY AND BIOPHYSICS,BCMP,3477196
Chicago Med Franklin,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,1227458
Chicago Med Franklin,CELL BIOLOGY AND ANATOMY,CB,691395
Chicago Med Franklin,CELLULAR AND MOLECULAR PHARMACOLOGY,BCMP,1361250
Chicago Med Franklin,HUMANITIES AND HEALTH CARE,GHSM,NA
Chicago Med Franklin,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,1290092
Chicago Med Franklin,NEUROSCIENCE,Nb,1773278
Chicago Med Franklin,PHYSIOLOGY AND BIOPHYSICS,BCMP,948334
Loyola Stritch,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,NA
Loyola Stritch,CELL AND MOLECULAR PHYSIOLOGY,NA,2419150
Loyola Stritch,INTEGRATIVE CELL BIOLOGY,CB,421293
Loyola Stritch,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,4450637
Loyola Stritch,MOLECULAR PHARMACOLOGY AND THERAPEUTICS,BCMP;Nb,339750
Loyola Stritch,PUBLIC HEALTH SCIENCES,GHSM,943393
Loyola Stritch,CANCER BIOLOGY,NA,NA
Penn State,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,2929860
Penn State,CELLULAR AND MOLECULAR PHYSIOLOGY,BCMP,3717505
Penn State,COMPARATIVE MEDICINE,NA,NA
Penn State,HUMANITIES,GHSM,970869
Penn State,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,4508378
Penn State,NEURAL AND BEHAVIORAL SCIENCES,Nb,3345449
Penn State,PHARMACOLOGY,BCMP,2423113
Penn State,PUBLIC HEALTH SCIENCES,NA,3478954
Rochester,BIOCHEMISTRY AND BIOPHYSICS,BCMP,5046275
Rochester,BIOMEDICAL ENGINEERING,NA,3427481
Rochester,BIOMEDICAL GENETICS,Gn,3342220
Rochester,BIOSTATISTICS AND COMPUTATIONAL BIOLOGY,DBMI,1676868
Rochester,CANCER CENTER,NA,615082
Rochester,CARDIOVASCULAR RESEARCH INSTITUTE,BCMP,464364
Rochester,CENTER FOR COMMUNITY HEALTH AND PREVENTION,NA,NA
Rochester,CENTER FOR HEALTH AND TECHNOLOGY,NA,NA
Rochester,CENTER FOR NEUROTHERAPEUTICS DISCOVERY,Nb,1361517
Rochester,CENTER FOR TRANSLATIONAL NEUROMED,Nb,3913516
Rochester,CENTER FOR VACCINE BIOLOGY AND IMMUNOLOGY,Imm,3058507
Rochester,COMPARATIVE MEDICINE,NA,NA
Rochester,ENVIRONMENTAL MEDICINE,NA,6238769
Rochester,MEDICAL HUMANITIES AND BIOETHICS,GHSM,NA
Rochester,MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,11034309
Rochester,NEUROSCIENCE,Nb,4243970
Rochester,PATHOLOGY AND LAB MEDICINE,NA,1407501
Rochester,PHARMACOLOGY AND PHYSIOLOGY,BCMP,7845097
Rochester,PUBLIC HEALTH SCIENCES,NA,8635909
Nebraska,BIOCHEMISTRY AND MOLEC BIOLOGY,BCMP,10654996
Nebraska,BIOSTATISTICS,DBMI;SB,NA
Nebraska,CELLULAR AND INTEGRATIVE PHYSIOLOGY,NA,2880568
Nebraska,ENVIRONMENTAL AGRICULTURAL AND OCCUPATIONAL HEALTH,NA,NA
Nebraska,EPIDEMIOLOGY,NA,NA
Nebraska,GENETICS CELL BIOLOGY AND ANATOMY,NA,495149
Nebraska,PATHOLOGY AND MICROBIOLOGY,Mb,6607642
Nebraska,PHARMACOLOGY AND EXPERIMENTAL NEUROSCIENCE,BCMP,15544618
Ponce,BIOCHEMISTRY,BCMP,17613
Ponce,MICROBIOLOGY,Mb,NA
Ponce,PHARMACOLOGY,BCMP,1800408
Ponce,PHYSIOLOGY,NA,783892
