school,department_name,harvard_equivalent,nih_2020
Rutgers New Jersey,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,3829954
MC Georgia Augusta,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,2943274
UT Medical Branch,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,5332615
Renaissance Stony Brook,PHYSIOLOGY AND BIOPHYSICS,BCMP,1197429
Florida,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,3122704
Florida,PHARMACOLOGY AND THERAPEUTICS,BCMP,4645542
Oklahoma,BIOCHEMISTRY AND MOLECULAR BIOL,BCMP,7141662
FIU-Wertheim,CELLULAR BIOLOGY AND PHARMACOLOGY,BCMP,450632
Arkansas,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,3817445
Arkansas,PHARMACOLOGY AND TOXICOLOGY,BCMP,1440131
UC Davis,BIOCHEMISTRY AND MOLECULAR MEDICINE,BCMP,8357124
UC Davis,PHARMACOLOGY,BCMP,10510886
LSU New Orleans,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,968492
LSU New Orleans,PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,1003826
Missouri Columbia,BIOCHEMISTRY,BCMP,4149875
Missouri Columbia,MEDICAL PHARMACOLOGY AND PHYSIOLOGY,BCMP,2778610
Mayo-Alix,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,NA
Mayo-Alix,MOLECULAR PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,BCMP,NA
Florida State,MOLECULAR BIOPHYSICS,BCMP,NA
Howard,BIOCHEM AND MOLECULAR BIOLOGY,BCMP,4789081
Howard,PHARMACOLOGY,BCMP,NA
Howard,PHYSIOLOGY AND BIOPHYSICS,BCMP,380978
LSU Shreveport,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,651688
UC Irvine,BIOLOGICAL CHEMISTRY,BCMP,5290113
UC Irvine,PHARMACOLOGY,BCMP,NA
UC Irvine,PHYSIOLOGY AND BIOPHYSICS,BCMP,8921873
Zucker Hofstra Northwell,MOLECULAR MEDICINE,BCMP,NA
Wright State-Boonshoft,BIOCHEMISTRY AND MOLEC BIOLOGY,BCMP,559000
Arizona,CHEMISTRY AND BIOCHEMISTRY,BCMP,2843805
Arizona,PHARMACOLOGY,BCMP,13972053
UT Houston-McGovern,BIOCHEMISTRY AND MOLECULAR BIOLOGY,BCMP,6692160
